document_id,category,source_relative_path,source_sha256,source_bytes,page_count,pdf_title,pdf_author,pdf_creator,pdf_creation_date,ocr_pdf_status,ocr_pdf_file,duplicate_source_file
18_states_memo_clean_declass_mark_redacted_670b20867693,china_voter_data,2. ChinaAcquisitionExploitationAmericanVoterData\18 States Memo - clean - declass mark_Redacted.pdf,670b2086769369ee037067abe60a6c5ed04b0ab95a283caddb662fe6f450278a,1020762,6,,,,,skipped: ocrmypdf_not_installed,,False
200m_voter_records_compromised_declass_marked_redacted_9a5bbd6a923e,china_voter_data,2. ChinaAcquisitionExploitationAmericanVoterData\200M Voter Records Compromised - declass marked_Redacted.pdf,9a5bbd6a923e4794e03edcd0403498510c55e81f0baf2bd1944c172af7c48cf6,3590558,24,,,,,skipped: ocrmypdf_not_installed,,False
cia_wire_memo_summer_2020_declass_redacted_1be94e7fa86a,china_voter_data,2. ChinaAcquisitionExploitationAmericanVoterData\CIA Wire Memo Summer 2020 DECLASS_REDACTED.pdf,1be94e7fa86a729a2c16266fd32ed1947793903b5fa50577c9648c697dc0c48b,522629,2,,,,D:20260714135348-04'00',skipped: ocrmypdf_not_installed,,True
email_everyone_s_favorite_topic_23dec2021_declass_redacted_efa073c1baba,china_voter_data,2. ChinaAcquisitionExploitationAmericanVoterData\EMAIL_Everyone's favorite topic 23DEC2021 - DECLASS_REDACTED.pdf,efa073c1baba2f629a41e0c29841a15acf00dc1b7c4ea62fa9e0b208a69619fe,196369,1,,,,,skipped: ocrmypdf_not_installed,,True
email_nsa_massagedpdb_20nov2020_declass_redact_bb2b9cbb2c98,china_voter_data,2. ChinaAcquisitionExploitationAmericanVoterData\EMAIL_NSA.MassagedPDB_20NOV2020_DECLASS_REDACT.pdf,bb2b9cbb2c9833028ccf1b2f32d5d009203b60690b0fcb88bb34357014aec12e,1192989,8,,,,,skipped: ocrmypdf_not_installed,,False
email_nsa_massagedpdb_23nov2020_declass_redact_3b4950eaeef1,china_voter_data,2. ChinaAcquisitionExploitationAmericanVoterData\EMAIL_NSA.MassagedPDB_23NOV2020_DECLASS_REDACT.pdf,3b4950eaeef104c15054ef1367abd9ac2d67438ed1e0ff286a1621db9d78965b,2154957,6,,,,,skipped: ocrmypdf_not_installed,,False
email_re_for_ic_coord_by_oct_7_2020_7oct2020_declass_redacted_9422d9bac9c6,china_voter_data,2. ChinaAcquisitionExploitationAmericanVoterData\EMAIL_RE For IC coord by Oct 7 2020  7OCT2020 DECLASS REDACTED.pdf,9422d9bac9c6eceaf4125708d5b4476dae54841bad38b85af599782e82711180,950344,8,,,,,skipped: ocrmypdf_not_installed,,False
email_re_please_coord_by_cob_9_1_4_country_election_security_graphic_03s_48ddc4a93e6d,china_voter_data,2. ChinaAcquisitionExploitationAmericanVoterData\EMAIL_RE Please coord by COB 9.1 - 4 country election security graphic 03SEP2020_DECLASS_REDACTED .pdf,48ddc4a93e6d4283be828cb77ea7f543a47e3cee664bdcbbbc8663da1b5b816d,11144794,24,,,,,skipped: ocrmypdf_not_installed,,False
fbi_albany_iir_provided_to_chairman_grassley_a08dc2a347dd,china_voter_data,2. ChinaAcquisitionExploitationAmericanVoterData\FBI_ALBANY_IIR_PROVIDED_TO_CHAIRMAN GRASSLEY .pdf,a08dc2a347dd6d0b8e8c40ff5eb6204e08b2854c92acf8b2eb47309458048b7f,1580179,6,FBI Albany IIR Provided to Chairman Grassley,,,,skipped: ocrmypdf_not_installed,,False
nica_foreign_threats_to_2020_us_election_19aug2020_declass_redacted_6e22be494ee8,china_voter_data,2. ChinaAcquisitionExploitationAmericanVoterData\NICA Foreign Threats To 2020 US Election_19AUG2020 DECLASS_REDACTED.pdf,6e22be494ee83716d2251e71c253ea6d78048694886b7006ce449a336aa9882b,1857619,8,,,,,not_needed,,True
