document_id,source_relative_path,source_sha256,page_number,extraction_method,ocr_average_confidence,native_text_characters,extracted_text_characters,review_required,review_reasons,text_file
cia_note_venezuela_machines_intel_memo_29june2026_declass_redacted_4a7be62c0901,1. Vulnerabilities in Voting and Counting Systems\CIA Note - Venezuela Machines Intel Memo_29JUNE2026_DECLASS_REDACTED.pdf,4a7be62c0901e6de3b0cfee37046ea5ece1a79a0e647d6f4cdae659705148594,1,ocr,71.81944444444444,69,311,True,low_ocr_confidence,page_text\cia_note_venezuela_machines_intel_memo_29june2026_declass_redacted_4a7be62c0901\page_0001.txt
cia_note_venezuela_machines_intel_memo_29june2026_declass_redacted_4a7be62c0901,1. Vulnerabilities in Voting and Counting Systems\CIA Note - Venezuela Machines Intel Memo_29JUNE2026_DECLASS_REDACTED.pdf,4a7be62c0901e6de3b0cfee37046ea5ece1a79a0e647d6f4cdae659705148594,2,ocr,80.45384615384616,0,2514,False,,page_text\cia_note_venezuela_machines_intel_memo_29june2026_declass_redacted_4a7be62c0901\page_0002.txt
cia_note_venezuela_machines_intel_memo_29june2026_declass_redacted_4a7be62c0901,1. Vulnerabilities in Voting and Counting Systems\CIA Note - Venezuela Machines Intel Memo_29JUNE2026_DECLASS_REDACTED.pdf,4a7be62c0901e6de3b0cfee37046ea5ece1a79a0e647d6f4cdae659705148594,3,ocr,82.49890590809628,0,3072,False,,page_text\cia_note_venezuela_machines_intel_memo_29june2026_declass_redacted_4a7be62c0901\page_0003.txt
cia_note_venezuela_machines_intel_memo_29june2026_declass_redacted_4a7be62c0901,1. Vulnerabilities in Voting and Counting Systems\CIA Note - Venezuela Machines Intel Memo_29JUNE2026_DECLASS_REDACTED.pdf,4a7be62c0901e6de3b0cfee37046ea5ece1a79a0e647d6f4cdae659705148594,4,ocr,77.26271186440678,0,2252,False,,page_text\cia_note_venezuela_machines_intel_memo_29june2026_declass_redacted_4a7be62c0901\page_0004.txt
cia_note_venezuela_machines_intel_memo_29june2026_declass_redacted_4a7be62c0901,1. Vulnerabilities in Voting and Counting Systems\CIA Note - Venezuela Machines Intel Memo_29JUNE2026_DECLASS_REDACTED.pdf,4a7be62c0901e6de3b0cfee37046ea5ece1a79a0e647d6f4cdae659705148594,5,ocr,82.51851851851852,0,1648,False,,page_text\cia_note_venezuela_machines_intel_memo_29june2026_declass_redacted_4a7be62c0901\page_0005.txt
cia_note_venezuela_machines_intel_memo_29june2026_declass_redacted_4a7be62c0901,1. Vulnerabilities in Voting and Counting Systems\CIA Note - Venezuela Machines Intel Memo_29JUNE2026_DECLASS_REDACTED.pdf,4a7be62c0901e6de3b0cfee37046ea5ece1a79a0e647d6f4cdae659705148594,6,ocr,21.0,0,6,True,low_ocr_confidence;low_text_yield,page_text\cia_note_venezuela_machines_intel_memo_29june2026_declass_redacted_4a7be62c0901\page_0006.txt
cia_wire_memo_summer_2020_declass_redacted_1be94e7fa86a,1. Vulnerabilities in Voting and Counting Systems\CIA Wire Memo Summer 2020 DECLASS REDACTED.pdf,1be94e7fa86a729a2c16266fd32ed1947793903b5fa50577c9648c697dc0c48b,1,ocr,77.50583657587549,57,2623,False,,page_text\cia_wire_memo_summer_2020_declass_redacted_1be94e7fa86a\page_0001.txt
cia_wire_memo_summer_2020_declass_redacted_1be94e7fa86a,1. Vulnerabilities in Voting and Counting Systems\CIA Wire Memo Summer 2020 DECLASS REDACTED.pdf,1be94e7fa86a729a2c16266fd32ed1947793903b5fa50577c9648c697dc0c48b,2,ocr,75.8273092369478,0,1237,False,,page_text\cia_wire_memo_summer_2020_declass_redacted_1be94e7fa86a\page_0002.txt
cisa_election_report_final_3c6db9616032,1. Vulnerabilities in Voting and Counting Systems\CISA Election Report - FINAL.pdf,3c6db961603260a77dce4548b7e5a7f5a6fd2b964345ab4a46eb1d3c61485c22,1,native,,2705,2705,False,,page_text\cisa_election_report_final_3c6db9616032\page_0001.txt
cisa_election_report_final_3c6db9616032,1. Vulnerabilities in Voting and Counting Systems\CISA Election Report - FINAL.pdf,3c6db961603260a77dce4548b7e5a7f5a6fd2b964345ab4a46eb1d3c61485c22,2,native,,2595,2595,False,,page_text\cisa_election_report_final_3c6db9616032\page_0002.txt
