candidate_id,theme,query,document_id,source_relative_path,source_sha256,page_number,extraction_method,ocr_average_confidence,review_required,review_reasons,text_file,matched_text,context,candidate_status,reviewer_notes
cand_000001,evidence_and_qualification,alleged,cia_note_venezuela_machines_intel_memo_29june2026_declass_redacted_4a7be62c0901,1. Vulnerabilities in Voting and Counting Systems\CIA Note - Venezuela Machines Intel Memo_29JUNE2026_DECLASS_REDACTED.pdf,4a7be62c0901e6de3b0cfee37046ea5ece1a79a0e647d6f4cdae659705148594,2,ocr,80.45384615384616,False,,page_text\cia_note_venezuela_machines_intel_memo_29june2026_declass_redacted_4a7be62c0901\page_0002.txt,alleged,"foreign-linked voting technology vendors, it did not definitively confirm that large-scale electronic fraud was successfully executed in specific Venezuelan elections, with CIA's baseline assessments: maintaining that other factors: better explained’electoral outcomes. The reporting on advanced techniques like eee provided concerning insight into alleged Venezuelan government capabilities and intent, but came from.limited sourcing. ({U) Scope Note: This summary focuses on. Election Manipulation what Intelligence Community reporting . ae ; established regarding Venezuela's intent eee Eee (ntelligence sources and capabilities to manipulate voting between 2004 and 2020. reported that Venezuelan machi",not_reviewed,
cand_000002,evidence_and_qualification,alleged,cia_note_venezuela_machines_intel_memo_29june2026_declass_redacted_4a7be62c0901,1. Vulnerabilities in Voting and Counting Systems\CIA Note - Venezuela Machines Intel Memo_29JUNE2026_DECLASS_REDACTED.pdf,4a7be62c0901e6de3b0cfee37046ea5ece1a79a0e647d6f4cdae659705148594,4,ocr,77.26271186440678,False,,page_text\cia_note_venezuela_machines_intel_memo_29june2026_declass_redacted_4a7be62c0901\page_0004.txt,alleged,"uence US domestic politics and public es The September 2020 _ opinion; intelligence reporting on ggg] plans provided . the. most detailed description of a specific * gee Reporting that the Venezuelan technical approach to-election manipulation, government manipulated Venezuelan national elections with Smartmatic's direct involvement; technique was allegedly-designed to:* ° a Eee intelligence that Smartmatic directors held:credéntials.from ° Replicate digital hash Venezuelan intelligence services files sent to the central vote counting database; ® —geeg Open source reporting of corrupt relationships between Smartmatic and . es Mimic real voting Venezuelan government officials; and ‘machines that fav",not_reviewed,
cand_000003,evidence_and_qualification,alleged,nica_foreign_threats_to_2020_us_election_19aug2020_declass_redacted_6e22be494ee8,2. ChinaAcquisitionExploitationAmericanVoterData\NICA Foreign Threats To 2020 US Election_19AUG2020 DECLASS_REDACTED.pdf,6e22be494ee83716d2251e71c253ea6d78048694886b7006ce449a336aa9882b,2,native,,False,,page_text\nica_foreign_threats_to_2020_us_election_19aug2020_declass_redacted_6e22be494ee8\page_0002.txt,alleged,"of the election, including activities targeting voter registration, casting and counting ofballots, and the reporting of results. NATIONAL INTELLIGENCE COUNCIL [ 2 l (U) Russia • • President Putin and senior Russian officials are overseeing efforts by proxies to spread claims about fom1er Vice President Biden as well as Ulcrainian politicians and alleged Ukrainian influence in the 2016 US election. These claims include that when the former Vice President was in office, he engaged in criminal activity in his dealings with Ukraine and individuals tied to Ukrainian energy fum Burisma. Derkach, Kilimnik, and other proxy actors DECLASSIFIED BY PRESIDENT TRUMP on 3 July 2026 DECLASSIFIED BY PRESIDENT TR",not_reviewed,
cand_000004,evidence_and_qualification,alleged,200m_voter_records_compromised_declass_marked_redacted_9a5bbd6a923e,2. ChinaAcquisitionExploitationAmericanVoterData\200M Voter Records Compromised - declass marked_Redacted.pdf,9a5bbd6a923e4794e03edcd0403498510c55e81f0baf2bd1944c172af7c48cf6,14,ocr,90.6625,False,,page_text\200m_voter_records_compromised_declass_marked_redacted_9a5bbd6a923e\page_0014.txt,alleged,"DECLASSIFIED BY COUNSEL TO THE PRESIDENT WARRINGTON ON 10 JULY 2026 Named U.S. publisher Be 2017 Military maps and records in PDF format ((publicly released infor 2013 - 2016 Publicly leaked U.S. mation about alleged data NSA intelligence colle ction activities)) ®) Publicly leaked email s from a named former U.S. official F-15-Related Data ') and more 1998 - 2012 Downloaded data computer--such as the initial evaluationsF-15 fighter jet maintenanc e and technical manua |, and other docum entation dated betwe en 1998 and 2012 Named U.S. cleared documents | 2015",not_reviewed,
cand_000005,evidence_and_qualification,alleged,summary_clean_declass_marked_part_2_4130ca794f83,2. ChinaAcquisitionExploitationAmericanVoterData\Summary - clean - declass marked PART 2.pdf,4130ca794f83c03726a621af7972ea60c24fd3a00a38ca466afede8c0ac05df6,1,ocr,93.56640625,False,,page_text\summary_clean_declass_marked_part_2_4130ca794f83\page_0001.txt,Alleged,"e of racial divides: e Increasing the level of conflict between police and anti-racism activists: and e Feeding any sense that U.S. law enforcement resents USG and people of color. e UsSG tensions with the U.S. military: e Political party disagreements: e Congress-Trump Administration conflicts: e Women’s rights: e U.S. South China Sea policies: e Alleged U.S. war aspirations: and e International propaganda. China had developed capabilities to project themes on these topics into social media (Tiktok. Facebook. Twitter. YouTube and others), as well as mainstream media through a variety of overt and hidden influencers and media contributors. One of the options included gathering information on senior",not_reviewed,
cand_000006,evidence_and_qualification,alleged,summary_clean_declass_marked_part_3_4e5496fc9fef,2. ChinaAcquisitionExploitationAmericanVoterData\Summary - clean - declass marked PART 3.pdf,4e5496fc9fefbc1b25a8f153e7f928daca2690bb2a71cee89ea9ced058030628,1,ocr,92.41666666666667,False,,page_text\summary_clean_declass_marked_part_3_4e5496fc9fef\page_0001.txt,alleged,"as well as other potential crises. The Operations themes covered a broad range of topics. to exploit what China perceived to be U.S. fissures and vulnerabilities (perceived or real). including: e Gun proliferation: and e Immigration policies: e Inciting migrant community dissatisfaction with the USG: e Instigating demonstrations against the USG’s alleged human rights violations against immigrants: e Inflaming resentment between anti-immigrant and pro-immigrant communities: and e Instigating anti-immigration demonstrations. China had developed capabilities to project themes on these topics into social media (Tiktok, Facebook. Twitter, YouTube and others). as well as mainstream media through a varie",not_reviewed,
cand_000007,evidence_and_qualification,alleged,fbimichigan_2021_dont_want_to_close_memo_release_marked_bb7e982ddca3,3. MichiganVoterRegistrationInvestigation\FBIMichigan 2021 Dont Want To Close Memo RELEASE MARKED.pdf,bb7e982ddca3b8ef57f2bc1b416f49ad54cdc8aee7299baac8ac88980b107dc8,1,ocr,93.87368421052632,False,,page_text\fbimichigan_2021_dont_want_to_close_memo_release_marked_bb7e982ddca3\page_0001.txt,alleged,"ions (52 U.S.C. §§ 1037(c), 20511(2))”. (pg. 24) o “Providing false information concerning a person’s name, address, or period of residence in a voting district to establish that person’s eligibility to register or to vote in a federal election (52 U.S.C. §§ 1037(c), 20511(2)). (pg. 25) o “Causing the production of voter registrations that qualify alleged voters to vote for federal candidates, or the production of ballots in federal elections, that the actor knows are materially defective under applicable state law (52 U.S.C. § 20511(2)). (pg. 25) e Under the heading, “False Information in, and Payments for, Registering and Voting: 52 U.S.C. § 10307(c)” o “Section 10307(c) is particularly useful fo",not_reviewed,
cand_000008,evidence_and_qualification,alleged,fbimichigan_fraudulent_request_memo2_release_marked_c03f83fb2d54,3. MichiganVoterRegistrationInvestigation\FBIMichigan Fraudulent Request Memo2 RELEASE MARKED.pdf,c03f83fb2d54eae2a0e0d0fe58f7a58a89558f531c58e5136e1f8a934317748a,1,ocr,93.26525821596245,False,,page_text\fbimichigan_fraudulent_request_memo2_release_marked_c03f83fb2d54\page_0001.txt,alleged,"APPROVED FOR PUBLIC RELEASE BY COUNSEL TO THE PRESIDENT WARRINGTON on 10 July 2026 Sent: Thursday, February 2, 2023 3:14 PM Subject: [EXTERNAL EMAL] - Election Gansult re. Voter Registrations (W.D. Mich.) _ Thank you for the call today. Subject to our discussion, PIN concurs in the full GJ investigation into the alleged voter registration fraud matter referenced and summarized in part below. Specifically, PIN concurs in investigating only those voter registration applications in which (1) the purported applicant does not exist and/or appears to be fabricated (i.e., “unable to locate” with incorrect associated information); and (2) signatures of the purported appl",not_reviewed,
cand_000009,evidence_and_qualification,alleged,fbimichigan_orginal_muskego_msp_referral_release_marked_4ae64fd6128c,3. MichiganVoterRegistrationInvestigation\FBIMichigan Orginal Muskego MSP Referral RELEASE MARKED.pdf,4ae64fd6128c48a1495cfb4006e462c77477e9331a063551fdf9e8537e1d3fd7,1,ocr,91.56190476190476,False,,page_text\fbimichigan_orginal_muskego_msp_referral_release_marked_4ae64fd6128c\page_0001.txt,Alleged,"APPROVED FOR PUBLIC RELEASE BY COUNSEL TO THE PRESIDENT WARRINGTON on 10 July 2026 HH ias, BRK fr Orriciat Recorp eRe ee UNCLASSIFIED //Be#© Seor FEDERAL BUREAU OF INVESTIGATION Electronic Communication Title: (U) Alleged fraudulent voter registrations Date: 10/29/2020 being submitted to the Muskegon City Clerk's Office. From: DETROIT Case ID #: 56-DE-3249380- (U//FOUO) Michigan Election Crimes; Type Muskegon III Assessment; Assessment Began 03/10/2020; SENSITIVE INVESTIGATIVE MATTER Synopsis: (U) This EC serves to summarize allegations of fraudulent voter registra",not_reviewed,
cand_000010,evidence_and_qualification,alleged,fbimichigan_orginal_muskego_msp_referral_release_marked_4ae64fd6128c,3. MichiganVoterRegistrationInvestigation\FBIMichigan Orginal Muskego MSP Referral RELEASE MARKED.pdf,4ae64fd6128c48a1495cfb4006e462c77477e9331a063551fdf9e8537e1d3fd7,2,ocr,88.05415162454874,False,,page_text\fbimichigan_orginal_muskego_msp_referral_release_marked_4ae64fd6128c\page_0002.txt,Alleged,"APPROVED FOR PUBLIC RELEASE BY COUNSEL TO THE PRESIDENT WARRINGTON on 10 July 2026 UNCLASSIFIED / / Feo Title: (U) Alleged fraudulent voter registrations being submitted to the Muskegon City Clerk's Office. Re: 56-DE-3249380-Muskegon, 10/29/2020 Po a resident of po as GE 2 s° hand delivered numerous applications with similar red flags. MCPD estimates GR svomitted approximately 8 to 10 thousand applications of which an undetermined number appeared fraudulent. on cormed",not_reviewed,
