speech_subtopic,language_group,pages_with_terms,share_of_pages
1. Voting and counting systems,Attribution or allegation,22,0.8461538461538461
1. Voting and counting systems,Assessment or uncertainty,20,0.7692307692307693
1. Voting and counting systems,Confirmation language,5,0.19230769230769232
1. Voting and counting systems,Limitation or non-confirmation,6,0.23076923076923078
2. China and American voter data,Attribution or allegation,53,0.29775280898876405
2. China and American voter data,Assessment or uncertainty,59,0.33146067415730335
2. China and American voter data,Confirmation language,4,0.02247191011235955
2. China and American voter data,Limitation or non-confirmation,8,0.0449438202247191
3. Michigan registration investigation,Attribution or allegation,16,0.3018867924528302
3. Michigan registration investigation,Assessment or uncertainty,32,0.6037735849056604
3. Michigan registration investigation,Confirmation language,5,0.09433962264150944
3. Michigan registration investigation,Limitation or non-confirmation,17,0.32075471698113206
4. Noncitizens on state voter rolls,Attribution or allegation,8,0.6666666666666666
4. Noncitizens on state voter rolls,Assessment or uncertainty,9,0.75
4. Noncitizens on state voter rolls,Confirmation language,3,0.25
4. Noncitizens on state voter rolls,Limitation or non-confirmation,0,0.0
