document_id,source_relative_path,source_sha256,page_number,text_file,review_reasons,ocr_average_confidence,visual_comparison_status,corrected_text_file,reviewer_decision,ambiguity_notes,claim_quotation_allowed
cia_note_venezuela_machines_intel_memo_29june2026_declass_redacted_4a7be62c0901,1. Vulnerabilities in Voting and Counting Systems\CIA Note - Venezuela Machines Intel Memo_29JUNE2026_DECLASS_REDACTED.pdf,4a7be62c0901e6de3b0cfee37046ea5ece1a79a0e647d6f4cdae659705148594,1,page_text\cia_note_venezuela_machines_intel_memo_29june2026_declass_redacted_4a7be62c0901\page_0001.txt,low_ocr_confidence,71.81944444444444,visually_confirmed,,approved_for_quotation,"Cover page is legible; OCR noise is limited to seals, redactions, and non-substantive marks.",yes
cia_note_venezuela_machines_intel_memo_29june2026_declass_redacted_4a7be62c0901,1. Vulnerabilities in Voting and Counting Systems\CIA Note - Venezuela Machines Intel Memo_29JUNE2026_DECLASS_REDACTED.pdf,4a7be62c0901e6de3b0cfee37046ea5ece1a79a0e647d6f4cdae659705148594,6,page_text\cia_note_venezuela_machines_intel_memo_29june2026_declass_redacted_4a7be62c0901\page_0006.txt,low_ocr_confidence;low_text_yield,21.0,visually_confirmed,,not_quotable,"Page is almost entirely redacted. Only the CIA NOTE label and page number are visible; no substantive text can be source-checked.",no
18_states_memo_clean_declass_mark_redacted_670b20867693,2. ChinaAcquisitionExploitationAmericanVoterData\18 States Memo - clean - declass mark_Redacted.pdf,670b2086769369ee037067abe60a6c5ed04b0ab95a283caddb662fe6f450278a,1,page_text\18_states_memo_clean_declass_mark_redacted_670b20867693\page_0001.txt,low_ocr_confidence,71.96875,visually_confirmed,,approved_for_quotation,"Title text is visible around redactions and supports a document-description claim only.",yes
18_states_memo_clean_declass_mark_redacted_670b20867693,2. ChinaAcquisitionExploitationAmericanVoterData\18 States Memo - clean - declass mark_Redacted.pdf,670b2086769369ee037067abe60a6c5ed04b0ab95a283caddb662fe6f450278a,2,page_text\18_states_memo_clean_declass_mark_redacted_670b20867693\page_0002.txt,low_ocr_confidence,53.598984771573605,visually_confirmed,,approved_for_quotation,"Substantive text is visible but interrupted by redactions; any claim must preserve the source's asserted and redacted character.",yes
18_states_memo_clean_declass_mark_redacted_670b20867693,2. ChinaAcquisitionExploitationAmericanVoterData\18 States Memo - clean - declass mark_Redacted.pdf,670b2086769369ee037067abe60a6c5ed04b0ab95a283caddb662fe6f450278a,4,page_text\18_states_memo_clean_declass_mark_redacted_670b20867693\page_0004.txt,low_ocr_confidence,66.44,visually_confirmed,,approved_for_quotation,"Visible fragments can be transcribed only with redaction markers; no reconstructed text should be treated as complete.",yes
18_states_memo_clean_declass_mark_redacted_670b20867693,2. ChinaAcquisitionExploitationAmericanVoterData\18 States Memo - clean - declass mark_Redacted.pdf,670b2086769369ee037067abe60a6c5ed04b0ab95a283caddb662fe6f450278a,5,page_text\18_states_memo_clean_declass_mark_redacted_670b20867693\page_0005.txt,low_ocr_confidence;low_text_yield,0.0,visually_confirmed,,not_quotable,"Page is visually blank; no substantive text is available.",no
200m_voter_records_compromised_declass_marked_redacted_9a5bbd6a923e,2. ChinaAcquisitionExploitationAmericanVoterData\200M Voter Records Compromised - declass marked_Redacted.pdf,9a5bbd6a923e4794e03edcd0403498510c55e81f0baf2bd1944c172af7c48cf6,2,page_text\200m_voter_records_compromised_declass_marked_redacted_9a5bbd6a923e\page_0002.txt,low_ocr_confidence,60.86764705882353,visually_confirmed,,approved_for_quotation,"Readable text is heavily redacted; quotations must be limited to visible words and retain the source's asserted character.",yes
200m_voter_records_compromised_declass_marked_redacted_9a5bbd6a923e,2. ChinaAcquisitionExploitationAmericanVoterData\200M Voter Records Compromised - declass marked_Redacted.pdf,9a5bbd6a923e4794e03edcd0403498510c55e81f0baf2bd1944c172af7c48cf6,3,page_text\200m_voter_records_compromised_declass_marked_redacted_9a5bbd6a923e\page_0003.txt,low_ocr_confidence,47.44206008583691,visually_confirmed,,approved_for_quotation,"Table text and numeric entries are visually legible despite the low OCR confidence score.",yes
200m_voter_records_compromised_declass_marked_redacted_9a5bbd6a923e,2. ChinaAcquisitionExploitationAmericanVoterData\200M Voter Records Compromised - declass marked_Redacted.pdf,9a5bbd6a923e4794e03edcd0403498510c55e81f0baf2bd1944c172af7c48cf6,23,page_text\200m_voter_records_compromised_declass_marked_redacted_9a5bbd6a923e\page_0023.txt,low_ocr_confidence,66.0,visually_confirmed,,approved_for_quotation,"A limited set of table headings and entries is visible; quote only text that can be read directly from the page.",yes
200m_voter_records_compromised_declass_marked_redacted_9a5bbd6a923e,2. ChinaAcquisitionExploitationAmericanVoterData\200M Voter Records Compromised - declass marked_Redacted.pdf,9a5bbd6a923e4794e03edcd0403498510c55e81f0baf2bd1944c172af7c48cf6,24,page_text\200m_voter_records_compromised_declass_marked_redacted_9a5bbd6a923e\page_0024.txt,low_ocr_confidence;low_text_yield,0.0,visually_confirmed,,not_quotable,"Page is visually blank; no substantive text is available.",no
email_nsa_massagedpdb_20nov2020_declass_redact_bb2b9cbb2c98,2. ChinaAcquisitionExploitationAmericanVoterData\EMAIL_NSA.MassagedPDB_20NOV2020_DECLASS_REDACT.pdf,bb2b9cbb2c9833028ccf1b2f32d5d009203b60690b0fcb88bb34357014aec12e,3,page_text\email_nsa_massagedpdb_20nov2020_declass_redact_bb2b9cbb2c98\page_0003.txt,low_ocr_confidence,68.8,visually_confirmed,,approved_for_quotation,"The visible email body, date, and subject are legible; author identity and some context are redacted.",yes
email_nsa_massagedpdb_20nov2020_declass_redact_bb2b9cbb2c98,2. ChinaAcquisitionExploitationAmericanVoterData\EMAIL_NSA.MassagedPDB_20NOV2020_DECLASS_REDACT.pdf,bb2b9cbb2c9833028ccf1b2f32d5d009203b60690b0fcb88bb34357014aec12e,5,page_text\email_nsa_massagedpdb_20nov2020_declass_redact_bb2b9cbb2c98\page_0005.txt,low_ocr_confidence,74.55625,visually_confirmed,,approved_for_quotation,"The visible email body is legible and must be treated as the author's internal statement, not a verified factual finding.",yes
email_nsa_massagedpdb_23nov2020_declass_redact_3b4950eaeef1,2. ChinaAcquisitionExploitationAmericanVoterData\EMAIL_NSA.MassagedPDB_23NOV2020_DECLASS_REDACT.pdf,3b4950eaeef104c15054ef1367abd9ac2d67438ed1e0ff286a1621db9d78965b,6,page_text\email_nsa_massagedpdb_23nov2020_declass_redact_3b4950eaeef1\page_0006.txt,low_text_yield,89.81818181818181,visually_confirmed,,not_quotable,"Page contains a signature, classification fields, and a phrase without substantive context.",no
email_re_for_ic_coord_by_oct_7_2020_7oct2020_declass_redacted_9422d9bac9c6,2. ChinaAcquisitionExploitationAmericanVoterData\EMAIL_RE For IC coord by Oct 7 2020  7OCT2020 DECLASS REDACTED.pdf,9422d9bac9c6eceaf4125708d5b4476dae54841bad38b85af599782e82711180,5,page_text\email_re_for_ic_coord_by_oct_7_2020_7oct2020_declass_redacted_9422d9bac9c6\page_0005.txt,low_ocr_confidence;low_text_yield,0.0,visually_confirmed,,not_quotable,"Page is entirely redacted except for declassification markings.",no
email_re_please_coord_by_cob_9_1_4_country_election_security_graphic_03s_48ddc4a93e6d,2. ChinaAcquisitionExploitationAmericanVoterData\EMAIL_RE Please coord by COB 9.1 - 4 country election security graphic 03SEP2020_DECLASS_REDACTED .pdf,48ddc4a93e6d4283be828cb77ea7f543a47e3cee664bdcbbbc8663da1b5b816d,19,page_text\email_re_please_coord_by_cob_9_1_4_country_election_security_graphic_03s_48ddc4a93e6d\page_0019.txt,low_ocr_confidence;low_text_yield,14.5,visually_confirmed,,not_quotable,"Page is entirely redacted apart from the declassification marking.",no
email_re_please_coord_by_cob_9_1_4_country_election_security_graphic_03s_48ddc4a93e6d,2. ChinaAcquisitionExploitationAmericanVoterData\EMAIL_RE Please coord by COB 9.1 - 4 country election security graphic 03SEP2020_DECLASS_REDACTED .pdf,48ddc4a93e6d4283be828cb77ea7f543a47e3cee664bdcbbbc8663da1b5b816d,20,page_text\email_re_please_coord_by_cob_9_1_4_country_election_security_graphic_03s_48ddc4a93e6d\page_0020.txt,low_ocr_confidence;low_text_yield,8.5,visually_confirmed,,not_quotable,"Page is entirely redacted apart from the declassification marking.",no
email_re_please_coord_by_cob_9_1_4_country_election_security_graphic_03s_48ddc4a93e6d,2. ChinaAcquisitionExploitationAmericanVoterData\EMAIL_RE Please coord by COB 9.1 - 4 country election security graphic 03SEP2020_DECLASS_REDACTED .pdf,48ddc4a93e6d4283be828cb77ea7f543a47e3cee664bdcbbbc8663da1b5b816d,21,page_text\email_re_please_coord_by_cob_9_1_4_country_election_security_graphic_03s_48ddc4a93e6d\page_0021.txt,low_ocr_confidence;low_text_yield,36.0,visually_confirmed,,not_quotable,"Page is entirely redacted apart from the declassification marking.",no
email_re_please_coord_by_cob_9_1_4_country_election_security_graphic_03s_48ddc4a93e6d,2. ChinaAcquisitionExploitationAmericanVoterData\EMAIL_RE Please coord by COB 9.1 - 4 country election security graphic 03SEP2020_DECLASS_REDACTED .pdf,48ddc4a93e6d4283be828cb77ea7f543a47e3cee664bdcbbbc8663da1b5b816d,24,page_text\email_re_please_coord_by_cob_9_1_4_country_election_security_graphic_03s_48ddc4a93e6d\page_0024.txt,low_ocr_confidence,74.875,visually_confirmed,,not_quotable,"Page contains classification fields and redactions only; no substantive content is available.",no
fbi_albany_iir_provided_to_chairman_grassley_a08dc2a347dd,2. ChinaAcquisitionExploitationAmericanVoterData\FBI_ALBANY_IIR_PROVIDED_TO_CHAIRMAN GRASSLEY .pdf,a08dc2a347dd6d0b8e8c40ff5eb6204e08b2854c92acf8b2eb47309458048b7f,6,page_text\fbi_albany_iir_provided_to_chairman_grassley_a08dc2a347dd\page_0006.txt,low_text_yield,77.0,not_reviewed,,,,
note_sensitive_prc_reporting_from_2018_2020_declass_redacted_ebc8700c7d5a,2. ChinaAcquisitionExploitationAmericanVoterData\Note - Sensitive PRC Reporting from 2018-2020 DECLASS_REDACTED.pdf,ebc8700c7d5a49df87d2002d953d9e8fd18e28b24ac6fe241944da278f485a34,1,page_text\note_sensitive_prc_reporting_from_2018_2020_declass_redacted_ebc8700c7d5a\page_0001.txt,low_ocr_confidence,62.59090909090909,not_reviewed,,,,
