document_id,source_relative_path,page_number,review_reasons,ocr_average_confidence,review_image
cia_note_venezuela_machines_intel_memo_29june2026_declass_redacted_4a7be62c0901,1. Vulnerabilities in Voting and Counting Systems\CIA Note - Venezuela Machines Intel Memo_29JUNE2026_DECLASS_REDACTED.pdf,1,low_ocr_confidence,71.81944444444444,ocr_review_images\cia_note_venezuela_machines_intel_memo_29june2026_declass_redacted_4a7be62c0901_page_0001.png
cia_note_venezuela_machines_intel_memo_29june2026_declass_redacted_4a7be62c0901,1. Vulnerabilities in Voting and Counting Systems\CIA Note - Venezuela Machines Intel Memo_29JUNE2026_DECLASS_REDACTED.pdf,6,low_ocr_confidence;low_text_yield,21.0,ocr_review_images\cia_note_venezuela_machines_intel_memo_29june2026_declass_redacted_4a7be62c0901_page_0006.png
18_states_memo_clean_declass_mark_redacted_670b20867693,2. ChinaAcquisitionExploitationAmericanVoterData\18 States Memo - clean - declass mark_Redacted.pdf,1,low_ocr_confidence,71.96875,ocr_review_images\18_states_memo_clean_declass_mark_redacted_670b20867693_page_0001.png
18_states_memo_clean_declass_mark_redacted_670b20867693,2. ChinaAcquisitionExploitationAmericanVoterData\18 States Memo - clean - declass mark_Redacted.pdf,2,low_ocr_confidence,53.598984771573605,ocr_review_images\18_states_memo_clean_declass_mark_redacted_670b20867693_page_0002.png
18_states_memo_clean_declass_mark_redacted_670b20867693,2. ChinaAcquisitionExploitationAmericanVoterData\18 States Memo - clean - declass mark_Redacted.pdf,4,low_ocr_confidence,66.44,ocr_review_images\18_states_memo_clean_declass_mark_redacted_670b20867693_page_0004.png
18_states_memo_clean_declass_mark_redacted_670b20867693,2. ChinaAcquisitionExploitationAmericanVoterData\18 States Memo - clean - declass mark_Redacted.pdf,5,low_ocr_confidence;low_text_yield,0.0,ocr_review_images\18_states_memo_clean_declass_mark_redacted_670b20867693_page_0005.png
200m_voter_records_compromised_declass_marked_redacted_9a5bbd6a923e,2. ChinaAcquisitionExploitationAmericanVoterData\200M Voter Records Compromised - declass marked_Redacted.pdf,2,low_ocr_confidence,60.86764705882353,ocr_review_images\200m_voter_records_compromised_declass_marked_redacted_9a5bbd6a923e_page_0002.png
200m_voter_records_compromised_declass_marked_redacted_9a5bbd6a923e,2. ChinaAcquisitionExploitationAmericanVoterData\200M Voter Records Compromised - declass marked_Redacted.pdf,3,low_ocr_confidence,47.44206008583691,ocr_review_images\200m_voter_records_compromised_declass_marked_redacted_9a5bbd6a923e_page_0003.png
200m_voter_records_compromised_declass_marked_redacted_9a5bbd6a923e,2. ChinaAcquisitionExploitationAmericanVoterData\200M Voter Records Compromised - declass marked_Redacted.pdf,23,low_ocr_confidence,66.0,ocr_review_images\200m_voter_records_compromised_declass_marked_redacted_9a5bbd6a923e_page_0023.png
200m_voter_records_compromised_declass_marked_redacted_9a5bbd6a923e,2. ChinaAcquisitionExploitationAmericanVoterData\200M Voter Records Compromised - declass marked_Redacted.pdf,24,low_ocr_confidence;low_text_yield,0.0,ocr_review_images\200m_voter_records_compromised_declass_marked_redacted_9a5bbd6a923e_page_0024.png
email_nsa_massagedpdb_20nov2020_declass_redact_bb2b9cbb2c98,2. ChinaAcquisitionExploitationAmericanVoterData\EMAIL_NSA.MassagedPDB_20NOV2020_DECLASS_REDACT.pdf,3,low_ocr_confidence,68.8,ocr_review_images\email_nsa_massagedpdb_20nov2020_declass_redact_bb2b9cbb2c98_page_0003.png
email_nsa_massagedpdb_20nov2020_declass_redact_bb2b9cbb2c98,2. ChinaAcquisitionExploitationAmericanVoterData\EMAIL_NSA.MassagedPDB_20NOV2020_DECLASS_REDACT.pdf,5,low_ocr_confidence,74.55625,ocr_review_images\email_nsa_massagedpdb_20nov2020_declass_redact_bb2b9cbb2c98_page_0005.png
email_nsa_massagedpdb_23nov2020_declass_redact_3b4950eaeef1,2. ChinaAcquisitionExploitationAmericanVoterData\EMAIL_NSA.MassagedPDB_23NOV2020_DECLASS_REDACT.pdf,6,low_text_yield,89.81818181818181,ocr_review_images\email_nsa_massagedpdb_23nov2020_declass_redact_3b4950eaeef1_page_0006.png
email_re_for_ic_coord_by_oct_7_2020_7oct2020_declass_redacted_9422d9bac9c6,2. ChinaAcquisitionExploitationAmericanVoterData\EMAIL_RE For IC coord by Oct 7 2020  7OCT2020 DECLASS REDACTED.pdf,5,low_ocr_confidence;low_text_yield,0.0,ocr_review_images\email_re_for_ic_coord_by_oct_7_2020_7oct2020_declass_redacted_9422d9bac9c6_page_0005.png
email_re_please_coord_by_cob_9_1_4_country_election_security_graphic_03s_48ddc4a93e6d,2. ChinaAcquisitionExploitationAmericanVoterData\EMAIL_RE Please coord by COB 9.1 - 4 country election security graphic 03SEP2020_DECLASS_REDACTED .pdf,19,low_ocr_confidence;low_text_yield,14.5,ocr_review_images\email_re_please_coord_by_cob_9_1_4_country_election_security_graphic_03s_48ddc4a93e6d_page_0019.png
email_re_please_coord_by_cob_9_1_4_country_election_security_graphic_03s_48ddc4a93e6d,2. ChinaAcquisitionExploitationAmericanVoterData\EMAIL_RE Please coord by COB 9.1 - 4 country election security graphic 03SEP2020_DECLASS_REDACTED .pdf,20,low_ocr_confidence;low_text_yield,8.5,ocr_review_images\email_re_please_coord_by_cob_9_1_4_country_election_security_graphic_03s_48ddc4a93e6d_page_0020.png
email_re_please_coord_by_cob_9_1_4_country_election_security_graphic_03s_48ddc4a93e6d,2. ChinaAcquisitionExploitationAmericanVoterData\EMAIL_RE Please coord by COB 9.1 - 4 country election security graphic 03SEP2020_DECLASS_REDACTED .pdf,21,low_ocr_confidence;low_text_yield,36.0,ocr_review_images\email_re_please_coord_by_cob_9_1_4_country_election_security_graphic_03s_48ddc4a93e6d_page_0021.png
email_re_please_coord_by_cob_9_1_4_country_election_security_graphic_03s_48ddc4a93e6d,2. ChinaAcquisitionExploitationAmericanVoterData\EMAIL_RE Please coord by COB 9.1 - 4 country election security graphic 03SEP2020_DECLASS_REDACTED .pdf,24,low_ocr_confidence,74.875,ocr_review_images\email_re_please_coord_by_cob_9_1_4_country_election_security_graphic_03s_48ddc4a93e6d_page_0024.png
fbi_albany_iir_provided_to_chairman_grassley_a08dc2a347dd,2. ChinaAcquisitionExploitationAmericanVoterData\FBI_ALBANY_IIR_PROVIDED_TO_CHAIRMAN GRASSLEY .pdf,6,low_text_yield,77.0,ocr_review_images\fbi_albany_iir_provided_to_chairman_grassley_a08dc2a347dd_page_0006.png
note_sensitive_prc_reporting_from_2018_2020_declass_redacted_ebc8700c7d5a,2. ChinaAcquisitionExploitationAmericanVoterData\Note - Sensitive PRC Reporting from 2018-2020 DECLASS_REDACTED.pdf,1,low_ocr_confidence,62.59090909090909,ocr_review_images\note_sensitive_prc_reporting_from_2018_2020_declass_redacted_ebc8700c7d5a_page_0001.png
pdb_25jun2020_declass_redacted_ab523302b7e2,2. ChinaAcquisitionExploitationAmericanVoterData\PDB 25JUN2020_DECLASS_REDACTED.pdf,2,low_ocr_confidence;low_text_yield,0.0,ocr_review_images\pdb_25jun2020_declass_redacted_ab523302b7e2_page_0002.png
prc_analsyis_on_us_voter_registration_information_clean_declass_marked_r_fc1f06c2cd5a,2. ChinaAcquisitionExploitationAmericanVoterData\PRC Analsyis on US Voter Registration Information - clean - declass marked_Redacted.pdf,1,low_ocr_confidence,53.21965317919075,ocr_review_images\prc_analsyis_on_us_voter_registration_information_clean_declass_marked_r_fc1f06c2cd5a_page_0001.png
prc_analsyis_on_us_voter_registration_information_clean_declass_marked_r_fc1f06c2cd5a,2. ChinaAcquisitionExploitationAmericanVoterData\PRC Analsyis on US Voter Registration Information - clean - declass marked_Redacted.pdf,2,low_ocr_confidence,50.026315789473685,ocr_review_images\prc_analsyis_on_us_voter_registration_information_clean_declass_marked_r_fc1f06c2cd5a_page_0002.png
prc_analsyis_on_us_voter_registration_information_clean_declass_marked_r_fc1f06c2cd5a,2. ChinaAcquisitionExploitationAmericanVoterData\PRC Analsyis on US Voter Registration Information - clean - declass marked_Redacted.pdf,4,low_ocr_confidence;low_text_yield,0.0,ocr_review_images\prc_analsyis_on_us_voter_registration_information_clean_declass_marked_r_fc1f06c2cd5a_page_0004.png
prc_analsyis_on_us_voter_registration_information_clean_declass_marked_r_fc1f06c2cd5a,2. ChinaAcquisitionExploitationAmericanVoterData\PRC Analsyis on US Voter Registration Information - clean - declass marked_Redacted.pdf,5,low_ocr_confidence;low_text_yield,0.0,ocr_review_images\prc_analsyis_on_us_voter_registration_information_clean_declass_marked_r_fc1f06c2cd5a_page_0005.png
prc_analsyis_on_us_voter_registration_information_clean_declass_marked_r_fc1f06c2cd5a,2. ChinaAcquisitionExploitationAmericanVoterData\PRC Analsyis on US Voter Registration Information - clean - declass marked_Redacted.pdf,6,low_ocr_confidence;low_text_yield,0.0,ocr_review_images\prc_analsyis_on_us_voter_registration_information_clean_declass_marked_r_fc1f06c2cd5a_page_0006.png
prc_analsyis_on_us_voter_registration_information_clean_declass_marked_r_fc1f06c2cd5a,2. ChinaAcquisitionExploitationAmericanVoterData\PRC Analsyis on US Voter Registration Information - clean - declass marked_Redacted.pdf,7,low_ocr_confidence;low_text_yield,22.61111111111111,ocr_review_images\prc_analsyis_on_us_voter_registration_information_clean_declass_marked_r_fc1f06c2cd5a_page_0007.png
prc_analsyis_on_us_voter_registration_information_clean_declass_marked_r_fc1f06c2cd5a,2. ChinaAcquisitionExploitationAmericanVoterData\PRC Analsyis on US Voter Registration Information - clean - declass marked_Redacted.pdf,8,low_ocr_confidence;low_text_yield,36.083333333333336,ocr_review_images\prc_analsyis_on_us_voter_registration_information_clean_declass_marked_r_fc1f06c2cd5a_page_0008.png
prc_target_2024_election_2023_clean_declass_marked_redacted_a809fb5ace7f,2. ChinaAcquisitionExploitationAmericanVoterData\PRC Target 2024 Election 2023 - clean - declass marked_Redacted.pdf,1,low_ocr_confidence,33.126126126126124,ocr_review_images\prc_target_2024_election_2023_clean_declass_marked_redacted_a809fb5ace7f_page_0001.png
prc_target_2024_election_2023_clean_declass_marked_redacted_a809fb5ace7f,2. ChinaAcquisitionExploitationAmericanVoterData\PRC Target 2024 Election 2023 - clean - declass marked_Redacted.pdf,2,low_ocr_confidence,44.15730337078652,ocr_review_images\prc_target_2024_election_2023_clean_declass_marked_redacted_a809fb5ace7f_page_0002.png
prc_target_2024_election_2023_clean_declass_marked_redacted_a809fb5ace7f,2. ChinaAcquisitionExploitationAmericanVoterData\PRC Target 2024 Election 2023 - clean - declass marked_Redacted.pdf,3,low_ocr_confidence,71.33333333333333,ocr_review_images\prc_target_2024_election_2023_clean_declass_marked_redacted_a809fb5ace7f_page_0003.png
prc_target_2024_election_2023_clean_declass_marked_redacted_a809fb5ace7f,2. ChinaAcquisitionExploitationAmericanVoterData\PRC Target 2024 Election 2023 - clean - declass marked_Redacted.pdf,6,low_ocr_confidence;low_text_yield,0.0,ocr_review_images\prc_target_2024_election_2023_clean_declass_marked_redacted_a809fb5ace7f_page_0006.png
prc_u_s_presidential_election_related_intelligence_in_2020_clean_declass_91565055d7ed,2. ChinaAcquisitionExploitationAmericanVoterData\PRC U.S. Presidential Election-Related Intelligence in 2020 - clean - declass marked_Redacted.pdf,4,low_ocr_confidence;low_text_yield,0.0,ocr_review_images\prc_u_s_presidential_election_related_intelligence_in_2020_clean_declass_91565055d7ed_page_0004.png
prc_us_voter_data_7_states_2023_clean_declass_marked_redacted_506d61a75e25,2. ChinaAcquisitionExploitationAmericanVoterData\PRC US Voter Data 7 States 2023 - clean - declass marked_Redacted.pdf,1,low_ocr_confidence,42.18939393939394,ocr_review_images\prc_us_voter_data_7_states_2023_clean_declass_marked_redacted_506d61a75e25_page_0001.png
prc_us_voter_data_7_states_2023_clean_declass_marked_redacted_506d61a75e25,2. ChinaAcquisitionExploitationAmericanVoterData\PRC US Voter Data 7 States 2023 - clean - declass marked_Redacted.pdf,3,low_text_yield,95.63636363636364,ocr_review_images\prc_us_voter_data_7_states_2023_clean_declass_marked_redacted_506d61a75e25_page_0003.png
tasking_3_albanybriefinghandout_297e_hq_a4095996_notserialized_jet_r_rel_3a12fd071838,2. ChinaAcquisitionExploitationAmericanVoterData\Tasking_3_AlbanyBriefingHandout_297E_HQ_A4095996_NotSerialized-JET-R RELEASE MARKED.pdf,3,low_text_yield,95.29411764705884,ocr_review_images\tasking_3_albanybriefinghandout_297e_hq_a4095996_notserialized_jet_r_rel_3a12fd071838_page_0003.png
tasking_3_albanybriefinghandout_297e_hq_a4095996_notserialized_jet_r_rel_3a12fd071838,2. ChinaAcquisitionExploitationAmericanVoterData\Tasking_3_AlbanyBriefingHandout_297E_HQ_A4095996_NotSerialized-JET-R RELEASE MARKED.pdf,4,low_ocr_confidence,65.98984771573605,ocr_review_images\tasking_3_albanybriefinghandout_297e_hq_a4095996_notserialized_jet_r_rel_3a12fd071838_page_0004.png
tasking_3_albanybriefinghandout_297e_hq_a4095996_notserialized_jet_r_rel_3a12fd071838,2. ChinaAcquisitionExploitationAmericanVoterData\Tasking_3_AlbanyBriefingHandout_297E_HQ_A4095996_NotSerialized-JET-R RELEASE MARKED.pdf,35,low_ocr_confidence,74.63970588235294,ocr_review_images\tasking_3_albanybriefinghandout_297e_hq_a4095996_notserialized_jet_r_rel_3a12fd071838_page_0035.png
us_voter_registration_for_6_states_clean_declass_marked_redacted_ac95b16038bc,2. ChinaAcquisitionExploitationAmericanVoterData\US Voter Registration  for 6 States - clean - declass marked_Redacted.pdf,1,low_ocr_confidence,61.62109375,ocr_review_images\us_voter_registration_for_6_states_clean_declass_marked_redacted_ac95b16038bc_page_0001.png
us_voter_registration_for_6_states_clean_declass_marked_redacted_ac95b16038bc,2. ChinaAcquisitionExploitationAmericanVoterData\US Voter Registration  for 6 States - clean - declass marked_Redacted.pdf,4,low_text_yield,96.0,ocr_review_images\us_voter_registration_for_6_states_clean_declass_marked_redacted_ac95b16038bc_page_0004.png
us_voter_registration_for_6_states_clean_declass_marked_redacted_ac95b16038bc,2. ChinaAcquisitionExploitationAmericanVoterData\US Voter Registration  for 6 States - clean - declass marked_Redacted.pdf,5,low_text_yield,95.3846153846154,ocr_review_images\us_voter_registration_for_6_states_clean_declass_marked_redacted_ac95b16038bc_page_0005.png
us_voter_registration_for_6_states_clean_declass_marked_redacted_ac95b16038bc,2. ChinaAcquisitionExploitationAmericanVoterData\US Voter Registration  for 6 States - clean - declass marked_Redacted.pdf,6,low_ocr_confidence;low_text_yield,0.0,ocr_review_images\us_voter_registration_for_6_states_clean_declass_marked_redacted_ac95b16038bc_page_0006.png
pin_edmi_declination_release_marked_c1dce1a99c75,3. MichiganVoterRegistrationInvestigation\PIN EDMI declination - RELEASE MARKED.pdf,4,low_text_yield,95.85714285714286,ocr_review_images\pin_edmi_declination_release_marked_c1dce1a99c75_page_0004.png
